k phase agent tumor mono firstline
116                        2                          pembrolizumab              other                      combination                ≥2                        
117                        2                          nivolumab                  other                      combination                mult                      
118                        1                          atezolizumab               NSCLC                      monotherapy                mult                      
119                        2                          ipilimumab/nivolumab       other                      combination                mult                      
120                        1                          pembrolizumab              other                      combination                mult                      
121                        1/2                        ipilimumab                 melanoma                   combination                mult                      
122                        1                          avelumab                   melanoma                   monotherapy                mult                      
123                        2                          nivolumab                  other                      monotherapy                ≥2                        
124                        2                          ipilimumab/nivolumab       NSCLC                      combination                1                         
125                        2                          pembrolizumab              other                      monotherapy                ≥2                        
126                        2                          pembrolizumab              other                      combination                mult                      
127                        1                          pembrolizumab              melanoma                   monotherapy                mult                      
128                        2                          pembrolizumab              other                      monotherapy                ≥2                        
129                        2                          pembrolizumab              melanoma                   combination                mult                      
130                        2                          pembrolizumab              other                      monotherapy                ≥2                        
131                        1                          pembrolizumab              other                      monotherapy                mult                      
132                        2                          pembrolizumab              breast                     monotherapy                ≥2                        
133                        1/2                        pembrolizumab              melanoma                   combination                mult                      
134                        1                          pembrolizumab              NSCLC                      monotherapy                mult                      
135                        1/2                        pembrolizumab              NSCLC                      combination                1                         
136                        2                          pembrolizumab              breast                     monotherapy                1                         
137                        1/2                        pembrolizumab              breast                     combination                ≥2                        
138                        1                          pembrolizumab              other                      monotherapy                ≥2                        
139                        2                          pembrolizumab              other                      monotherapy                1                         
140                        2                          pembrolizumab              other                      monotherapy                ≥2                        
141                        1                          pembrolizumab              melanoma                   combination                mult                      
142                        2                          pembrolizumab              other                      monotherapy                1                         
143                        1/2                        pembrolizumab              NSCLC                      combination                1                         
144                        1                          pembrolizumab              other                      combination                ≥2                        
145                        1                          pembrolizumab              NSCLC                      monotherapy                mult                      
146                        2                          pembrolizumab-or-nivolumab other                      monotherapy                ≥2                        
147                        2                          ipilimumab/pembrolizumab   NSCLC                      combination                ≥2                        
148                        1                          pembrolizumab              other                      combination                ≥2                        
149                        1                          atezolizumab               breast                     combination                mult                      
150                        1                          atezolizumab               breast                     monotherapy                mult                      
151                        1                          atezolizumab               other                      monotherapy                mult                      
152                        1                          atezolizumab               other                      combination                mult                      
153                        2                          atezolizumab               NSCLC                      monotherapy                ≥2                        
154                        1                          atezolizumab               NSCLC                      combination                mult                      
155                        2                          atezolizumab               NSCLC                      monotherapy                mult                      
156                        1/2                        nivolumab                  other                      combination                ≥2                        
157                        2                          nivolumab                  melanoma                   combination                mult                      
158                        2                          nivolumab                  other                      combination                1                         
159                        1/2                        nivolumab                  other                      combination-or-monotherapy ≥2                        
160                        2                          nivolumab                  other                      monotherapy                ≥2                        
161                        2                          ipilimumab                 melanoma                   combination-or-monotherapy mult                      
162                        1                          avelumab                   melanoma                   monotherapy                ≥2                        
163                        1                          avelumab                   breast                     monotherapy                ≥2                        
164                        2                          avelumab                   other                      monotherapy                ≥2                        
165                        1                          avelumab                   other                      monotherapy                ≥2                        
166                        1                          avelumab                   other                      monotherapy                ≥2                        
167                        1                          avelumab                   other                      monotherapy                ≥2                        
168                        1                          durvalumab                 other                      combination-or-monotherapy ≥2                        
169                        2                          durvalumab                 other                      combination-or-monotherapy ≥2                        
170                        1/2                        durvalumab                 other                      monotherapy                ≥2                        
171                        1/2                        durvalumab                 other                      combination                ≥2                        
172                        2                          durvalumab                 other                      monotherapy                ≥2                        
173                        1                          ipilimumab                 melanoma                   combination                mult                      
174                        2                          ipilimumab                 melanoma                   combination-or-monotherapy mult                      
